id,feature,fc,pval,qval,chr,strand,start,end,t_name,num_exons,length,gene_id,gene_name,cov.NPLL32,FPKM.NPLL32,cov.NPLL34,FPKM.NPLL34,cov.NPLL44,FPKM.NPLL44,cov.NPLL46,FPKM.NPLL46,cov.NPLL56,FPKM.NPLL56,cov.NPLL61,FPKM.NPLL61,cov.NPSL15,FPKM.NPSL15,cov.NPSL24,FPKM.NPSL24,cov.NPSL29,FPKM.NPSL29,cov.NPSL36,FPKM.NPSL36,cov.NPSL50,FPKM.NPSL50,cov.NPSL58,FPKM.NPSL58,cov.PLL20,FPKM.PLL20,cov.PLL31,FPKM.PLL31,cov.PLL43,FPKM.PLL43,cov.PLL55,FPKM.PLL55,cov.PLL59,FPKM.PLL59,cov.PLL62,FPKM.PLL62,cov.PSL13,FPKM.PSL13,cov.PSL16,FPKM.PSL16,cov.PSL35,FPKM.PSL35,cov.PSL49,FPKM.PSL49,cov.PSL53,FPKM.PSL53,cov.PSL63,FPKM.PSL63
10003,transcript,1.24783259528219,0.0292339848454186,0.515925897533522,NC_052310.1,+,23195381,23201661,rna-XM_038990440.1,4,1436,gene-LOC120045537,LOC120045537,3.486073,9.181724,1.974582,6.748869,9.363509,6.511533,2.461351,7.448624,2.635446,7.990519,2.986769,6.69854,0.847145,5.804985,1.982242,7.626841,3.371866,8.249484,3.312674,8.267866,1.997214,9.534225,22.427229,19.300079,2.912256,5.343205,3.006964,7.093742,2.416783,4.540239,2.219707,5.845143,2.872215,8.253471,3.16539,6.591356,3.301184,6.642134,4.705083,8.220594,3.997563,8.698492,2.610028,8.812812,4.575209,8.276488,4.523329,8.517338
10016,transcript,0.820421304317764,0.000888281198516694,0.389744915561346,NC_052310.1,-,23295409,23309476,rna-XM_038991510.1,23,5067,gene-LOC120046349,LOC120046349,0.153444,0.404145,0.124334,0.424958,0.903037,0.627986,0.089599,0.271148,0.077857,0.236058,0.417694,0.936778,0.059207,0.405711,0.071245,0.274121,0.261003,0.63856,0.048944,0.122156,0.066114,0.315613,0.217387,0.187076,0.915729,1.680116,0.117032,0.276091,0.149595,0.281034,0.106868,0.281415,0.031577,0.090738,0.483776,1.007377,0.106177,0.213633,0.451648,0.789107,0.213539,0.46465,0.026051,0.087962,0.27235,0.492677,0.096788,0.18225
10032,transcript,1.2092152091128,0.0264057158089801,0.515925897533522,NC_052310.1,+,23577092,23589678,rna-XM_038991524.1,5,1997,gene-dcakd,dcakd,0.304457,0.801888,0.182279,0.623006,1.651477,1.148463,0.49987,1.512724,0.432649,1.311767,0.369704,0.829149,0.18027,1.235284,0.563345,2.167517,0.569355,1.392963,0.288433,0.719879,0.323592,1.544751,1.134201,0.976053,0.356681,0.654414,0.251878,0.594207,0.284033,0.533593,0.395593,1.041713,0.143716,0.412976,0.376064,0.783086,0.732258,1.473337,0.717576,1.253729,0.816871,1.777469,0.179269,0.605305,0.679041,1.228375,0.466611,0.878619
1004,transcript,0.900598720668259,0.0393040153995122,0.515925897533522,NC_052307.1,-,30885392,30894226,rna-XM_038979131.1,14,2262,gene-polb,polb,0.174624,0.45993,0.206454,0.705633,0.824934,0.573672,0.157383,0.476278,0.095049,0.288183,0.175066,0.392627,0,0,0.079134,0.304475,0.143236,0.350436,0.189655,0.473346,0.095491,0.455851,0.695402,0.598438,0.507073,0.930342,0.254642,0.600727,0.20557,0.38619,0.159151,0.419092,0.079576,0.228666,0.408488,0.850603,0.222812,0.448308,0.318302,0.556129,0.268347,0.583909,0.111406,0.376165,0.342175,0.61899,0.172414,0.324652
10050,transcript,0.97323006819368,0.0361497739499956,0.515925897533522,NC_052310.1,+,23859807,23894780,rna-XM_038990446.1,10,4241,gene-mapta,mapta,0.033954,0.089429,0.033954,0.11605,0.058713,0.04083,0.016977,0.051376,0.025466,0.077211,0,0,0,0,0,0,0,0,0.025466,0.063559,0,0,0.025466,0.021915,0,0,0,0,0.05942,0.111628,0.016977,0.044705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10090,transcript,0.843868796283667,0.0437545527189427,0.515925897533522,NC_052310.1,+,25838760,25842687,rna-XM_038991564.1,6,1625,gene-LOC120046380,LOC120046380,0,0,0,0,0,0,0,0,0,0,0.302598,0.678648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745231,1.55181,0,0,0,0,0,0,0,0,0,0,0,0
10097,transcript,1.24164209839739,0.0138824579080837,0.45761330047682,NC_052310.1,-,26038931,26046841,rna-XM_038991568.1,8,3343,gene-pgap3,pgap3,0.859806,2.264583,0.874663,2.989486,5.744541,3.994845,1.070795,3.240476,1.654552,5.016506,1.668511,3.742033,0.649566,4.451093,1.287766,4.954787,1.798684,4.400594,1.282132,3.199982,0.902084,4.306335,7.812245,6.722941,1.774155,3.255097,0.87227,2.057776,2.627879,4.93681,0.887676,2.337513,1.386928,3.985415,1.474125,3.0696,2.102901,4.231133,2.254113,3.938325,1.908316,4.152398,1.246784,4.209791,2.359208,4.267774,1.867085,3.515683
10131,transcript,1.14588134165071,0.0447137694463446,0.515925897533522,NC_052310.1,-,26501608,26504187,rna-XR_005476790.1,4,759,gene-LOC120046395,LOC120046395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116318,0.284579,0.321259,0.801807,0,0,0.722003,0.62133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120158,0.226255
10137,transcript,1.246992558585,0.00835111963561852,0.420090611682224,NC_052310.1,-,26534734,26560767,rna-XM_038991597.1,13,3790,gene-mto1,mto1,0.23562,0.620583,0.187764,0.641753,1.510746,1.050597,0.359345,1.087462,0.413222,1.252865,0.296571,0.665131,0.15232,1.043759,0.388539,1.494936,0.388654,0.950867,0.39773,0.992666,0.227177,1.084489,2.891469,2.488296,0.490237,0.899453,0.161932,0.382014,0.39338,0.739015,0.2024,0.532979,0.163061,0.468565,0.199208,0.414815,0.296042,0.59565,0.526995,0.920751,0.446998,0.972645,0.31568,1.0659,0.530145,0.959025,0.727561,1.369983
10181,transcript,0.794883364462093,0.0332967774246644,0.515925897533522,NC_052310.1,+,27453455,27477310,rna-XM_038991628.1,5,1728,gene-pagr1,pagr1,0,0,0,0,0,0,0,0,0,0,0.752387,1.687407,0,0,0,0,0.366973,0.897823,0,0,0,0,0,0,0.32546,0.597131,0,0,0,0,0,0,0,0,0.703807,1.465552,0,0,0,0,0,0,0,0,0,0,0,0
