dmr_id,chrom,start,end,length,n_cpgs,direction,mean_diff,mean_pvalue,min_pvalue,lean_mean,siscowet_mean
DMR_1,NC_052307.1,72942650,72942716,66,3,hyper_siscowet,17.582941666666667,0.02857142857142857,0.02857142857142857,52.403150000000004,69.98609166666667
DMR_2,NC_052308.1,72362697,72363096,399,13,hyper_siscowet,18.130153846153846,0.028571428571428574,0.02857142857142857,63.03356346153846,81.16371730769232
DMR_3,NC_052308.1,78971079,78971451,372,5,hyper_siscowet,66.30259299999999,0.04974599072150299,0.04974599072150299,15.770962,82.073555
DMR_4,NC_052309.1,97923272,97923394,122,3,hyper_siscowet,16.513172222222227,0.04974599072150299,0.04974599072150299,78.3903111111111,94.90348333333334
DMR_5,NC_052312.1,36566291,36566807,516,19,hyper_siscowet,38.24025131578947,0.04748044225562239,0.04359664488554136,58.49467894736841,96.73493026315789
DMR_6,NC_052313.1,4374494,4374814,320,5,hyper_siscowet,17.491795000000003,0.02857142857142857,0.02857142857142857,55.06330499999999,72.5551
DMR_7,NC_052313.1,18549740,18550074,334,5,hyper_siscowet,22.925895000000004,0.033440214941207344,0.029401048190339642,72.56624500000001,95.49213999999999
DMR_8,NC_052313.1,60038615,60038736,121,4,hypo_siscowet,-34.520670833333334,0.04974599072150299,0.04974599072150299,67.45313333333334,32.9324625
DMR_9,NC_052314.1,189932,190464,532,12,hyper_siscowet,22.801027430555553,0.03265427432473607,0.02857142857142857,32.438648819444445,55.23967625
DMR_10,NC_052314.1,1013880,1014166,286,4,hypo_siscowet,-17.706587499999998,0.028778833476156337,0.02857142857142857,37.433156249999996,19.72656875
DMR_11,NC_052314.1,41355014,41355101,87,4,hypo_siscowet,-17.4187375,0.02857142857142857,0.02857142857142857,81.22865625,63.80991875
DMR_12,NC_052315.1,361135,361204,69,3,hypo_siscowet,-17.116049999999998,0.02857142857142857,0.02857142857142857,50.639466666666664,33.52341666666667
DMR_13,NC_052315.1,12074259,12074280,21,3,hypo_siscowet,-22.200866666666666,0.035906155827757066,0.02857142857142857,94.88095,72.68008333333334
DMR_14,NC_052324.1,37597725,37597878,153,3,hypo_siscowet,-20.90975,0.02857142857142857,0.02857142857142857,39.880449999999996,18.970700000000004
DMR_15,NC_052326.1,2832234,2832352,118,3,hypo_siscowet,-26.62060750000001,0.04974599072150299,0.04974599072150299,88.95653333333333,62.33592583333333
DMR_16,NC_052335.1,25694473,25694679,206,3,hyper_siscowet,21.875269444444445,0.04974599072150299,0.04974599072150299,35.137988888888884,57.01325833333333
DMR_17,NC_052341.1,4526455,4526956,501,6,hypo_siscowet,-44.535310833333334,0.04940134279058947,0.04767810313602185,57.991516666666655,13.456205833333335
DMR_18,NC_052343.1,27242658,27242906,248,8,hyper_siscowet,32.765710625,0.04359664488554136,0.04359664488554136,0.0,32.765710625
DMR_19,NC_052343.1,28911863,28911945,82,4,hypo_siscowet,-16.900895833333333,0.04513398134453177,0.04359664488554136,99.40475833333333,82.5038625
DMR_20,NC_052345.1,2143493,2143535,42,3,hypo_siscowet,-50.762501388888886,0.04974599072150299,0.04974599072150299,60.33275555555556,9.570254166666667
